timestamp,date,hour,day_of_week,is_weekend,month,direction,traffic_count,daily_total,temperature,humidity,wind_speed,visibility,precipitation,weather_main,hour_sin,hour_cos,is_morning_peak,is_evening_peak,day_of_week_num,weather_severity,visibility_category,temp_category,rolling_avg_3h,traffic_density,congestion_level
2023-01-01 00:00:00,2023-01-01,0,Sunday,1,1,E,930,15541,64.15,94,0.0,10000.0,0.0,Mist,0.0,1.0,False,False,6,2.0,Moderate,Moderate,930.0,0.059841709027733093,Moderate
2023-01-01 00:00:00,2023-01-01,0,Sunday,1,1,W,483,15932,64.15,94,0.0,10000.0,0.0,Mist,0.0,1.0,False,False,6,2.0,Moderate,Moderate,483.0,0.03031634446397188,Moderate
2023-01-01 01:00:00,2023-01-01,1,Sunday,1,1,E,565,15541,63.97,94,1.01,10000.0,0.0,Clouds,0.25881904510252074,0.9659258262890683,False,False,6,1.0,Moderate,Moderate,747.5,0.036355446882439996,Moderate
2023-01-01 01:00:00,2023-01-01,1,Sunday,1,1,W,470,15932,63.97,94,1.01,10000.0,0.0,Clouds,0.25881904510252074,0.9659258262890683,False,False,6,1.0,Moderate,Moderate,476.5,0.02950037660055235,Moderate
2023-01-01 02:00:00,2023-01-01,2,Sunday,1,1,E,401,15541,63.45,94,1.99,2615.0,0.0,Mist,0.49999999999999994,0.8660254037844387,False,False,6,2.0,Low,Moderate,632.0,0.02580271539797954,Moderate
2023-01-01 02:00:00,2023-01-01,2,Sunday,1,1,W,348,15932,63.45,94,1.99,2615.0,0.0,Mist,0.49999999999999994,0.8660254037844387,False,False,6,2.0,Low,Moderate,433.6666666666667,0.021842832036153653,Moderate
2023-01-01 03:00:00,2023-01-01,3,Sunday,1,1,E,203,15541,62.42,96,0.0,4023.0,0.0,Mist,0.7071067811865475,0.7071067811865476,False,False,6,2.0,Low,Moderate,389.6666666666667,0.013062222508204106,Low
2023-01-01 03:00:00,2023-01-01,3,Sunday,1,1,W,245,15932,62.42,96,0.0,4023.0,0.0,Mist,0.7071067811865475,0.7071067811865476,False,False,6,2.0,Low,Moderate,354.3333333333333,0.015377855887521968,Low
2023-01-01 04:00:00,2023-01-01,4,Sunday,1,1,E,149,15541,61.61,94,3.44,805.0,0.0,Fog,0.8660254037844386,0.5000000000000001,False,False,6,3.0,Very Low,Moderate,251.0,0.009587542629174441,Low
2023-01-01 04:00:00,2023-01-01,4,Sunday,1,1,W,172,15932,61.61,94,3.44,805.0,0.0,Fog,0.8660254037844386,0.5000000000000001,False,False,6,3.0,Very Low,Moderate,255.0,0.010795882500627667,Low
2023-01-01 05:00:00,2023-01-01,5,Sunday,1,1,E,176,15541,63.12,96,3.44,1207.0,0.0,Mist,0.9659258262890683,0.25881904510252074,False,False,6,2.0,Low,Moderate,176.0,0.011324882568689274,Low
2023-01-01 05:00:00,2023-01-01,5,Sunday,1,1,W,136,15932,63.12,96,3.44,1207.0,0.0,Mist,0.9659258262890683,0.25881904510252074,False,False,6,2.0,Low,Moderate,184.33333333333334,0.008536279186542806,Low
2023-01-01 06:00:00,2023-01-01,6,Sunday,1,1,E,258,15541,63.63,95,1.01,3219.0,0.0,Mist,1.0,6.123233995736766e-17,True,False,6,2.0,Low,Moderate,194.33333333333334,0.016601248310919504,Low
2023-01-01 06:00:00,2023-01-01,6,Sunday,1,1,W,186,15932,63.63,95,1.01,3219.0,0.0,Mist,1.0,6.123233995736766e-17,True,False,6,2.0,Low,Moderate,164.66666666666666,0.01167461712277178,Low
